indicator_id,year_month,value,unit,quality,source_note
scfi,2021-09,4614.10,Index,실측,"SSE via container-news.com 주간 차트, 2021-09-30 발표치"
scfi,2021-10,4567.28,Index,실측,"SSE via container-news.com 주간 차트, 2021-10-29 발표치"
scfi,2021-11,4601.97,Index,실측,"SSE via container-news.com 주간 차트, 2021-11-26 발표치"
scfi,2021-12,5046.66,Index,실측,"SSE via container-news.com 주간 차트, 2021-12-31 발표치"
scfi,2022-01,5010.36,Index,실측,"SSE via container-news.com 주간 차트, 2022-01-28 발표치"
scfi,2022-02,4818.47,Index,실측,"SSE via container-news.com 주간 차트, 2022-02-25 발표치"
scfi,2022-03,4434.07,Index,실측,"SSE via container-news.com 주간 차트, 2022-03-25 발표치"
scfi,2022-04,4177.30,Index,실측,"SSE via container-news.com 주간 차트, 2022-04-29 발표치"
scfi,2022-05,4175.35,Index,실측,"SSE via container-news.com 주간 차트, 2022-05-27 발표치"
scfi,2022-06,4216.13,Index,실측,"SSE via container-news.com 주간 차트, 2022-06-24 발표치"
scfi,2022-07,3887.85,Index,실측,"SSE via container-news.com 주간 차트, 2022-07-29 발표치"
scfi,2022-08,3154.26,Index,실측,"SSE via container-news.com 주간 차트, 2022-08-26 발표치"
scfi,2022-09,1922.95,Index,실측,"SSE via container-news.com 주간 차트, 2022-09-30 발표치"
scfi,2022-10,1697.65,Index,실측,"SSE via container-news.com 주간 차트, 2022-10-28 발표치"
scfi,2022-11,1229.90,Index,실측,"SSE via container-news.com 주간 차트, 2022-11-25 발표치"
scfi,2022-12,1107.55,Index,실측,"SSE via container-news.com 주간 차트, 2022-12-30 발표치"
scfi,2023-01,1029.75,Index,실측,"SSE via container-news.com, 2023-01-20 발표치(춘절 전 마지막 · 근사치)"
scfi,2023-02,946.68,Index,실측,"SSE via container-news.com 주간 차트, 2023-02-24 발표치"
scfi,2023-03,923.78,Index,실측,"SSE via container-news.com 주간 차트, 2023-03-31 발표치"
scfi,2023-04,999.73,Index,실측,"SSE via container-news.com 주간 차트, 2023-04-28 발표치"
scfi,2023-05,983.46,Index,실측,"SSE via container-news.com 주간 차트, 2023-05-26 발표치"
scfi,2023-06,953.60,Index,실측,"SSE via container-news.com 주간 차트, 2023-06-30 발표치"
scfi,2023-07,1029.23,Index,실측,"SSE via container-news.com 주간 차트, 2023-07-28 발표치"
scfi,2023-08,1013.78,Index,실측,"SSE via container-news.com 주간 차트, 2023-08-25 발표치"
scfi,2023-09,886.85,Index,실측,"SSE via container-news.com 주간 차트, 2023-09-28 발표치"
scfi,2023-10,1012.60,Index,실측,"SSE via Container News 기사 (week 43, 2023-10-27)"
scfi,2023-11,993.21,Index,실측,"SSE via container-news.com 주간 차트, 2023-11-24 발표치"
scfi,2023-12,1760,Index,실측,"SSE via Container News 기사 (2023-12-29 약 1,760 · 근사치)"
scfi,2024-01,2179.09,Index,실측,"SSE via container-news.com 주간 차트, 2024-01-26 발표치"
scfi,2024-02,2109.91,Index,실측,"SSE via container-news.com 주간 차트, 2024-02-23 발표치"
scfi,2024-03,1730.98,Index,실측,"SSE via container-news.com 주간 차트, 2024-03-29 발표치"
scfi,2024-04,1940.63,Index,실측,"SSE via container-news.com 주간 차트, 2024-04-26 발표치"
scfi,2024-05,3044.77,Index,실측,"SSE via container-news.com 주간 차트, 2024-05-31 발표치"
scfi,2024-06,3714.32,Index,실측,"SSE via container-news.com 주간 차트, 2024-06-28 발표치"
scfi,2024-07,3447.87,Index,실측,"SSE via container-news.com 주간 차트, 2024-07-26 발표치"
scfi,2024-08,2963.38,Index,실측,"SSE via container-news.com 주간 차트, 2024-08-30 발표치"
scfi,2024-09,2135.08,Index,실측,"SSE via container-news.com 주간 차트, 2024-09-27 발표치"
scfi,2024-10,2185.33,Index,실측,"SSE via container-news.com 주간 차트, 2024-10-25 발표치"
scfi,2024-11,2233.83,Index,실측,"SSE via container-news.com 주간 차트, 2024-11-29 발표치"
scfi,2024-12,2460.34,Index,실측,"SSE via container-news.com 주간 차트, 2024-12-27 발표치"
