ï»¿,1. TARGET,,,,,,,,,,,,,,,,,,,,,,
,,Bias, - ,-," 76,513 "," 30,278 "," 42,204 "," 38,673 "," 24,900 "," 37,688 "," 49,216 "," 156,047 "," 123,048 "," 91,705 "," 117,685 "," 117,173 "," 89,542 "," 918,160 ",,,320579,301722,496548
,,OTR," 24,423 ",178%," 43,592 ", - , - , - , - , - , - , - ," 86,264 ", - ," 169,626 "," 137,814 "," 85,809 "," 479,512 ",,,0,0,0
,,Solid," 130,095 ",119%," 155,203 "," 137,900 "," 139,599 "," 127,103 "," 72,209 "," 138,978 "," 146,678 "," 141,265 "," 208,157 "," 204,223 "," 213,741 "," 165,575 "," 167,014 "," 1,862,442 ",,,164773,146084,111732
,(USD),Tube," 337,096 ",133%," 447,682 "," 352,555 "," 508,369 "," 385,307 "," 313,429 "," 495,444 "," 312,290 "," 554,154 "," 493,591 "," 501,424 "," 540,153 "," 450,500 "," 464,966 "," 5,372,183 ",,,561398,519879,340030
,,Flap," 53,360 ",135%," 72,171 "," 65,794 "," 62,390 "," 52,525 "," 51,653 "," 83,629 "," 48,202 "," 95,664 "," 94,424 "," 79,400 "," 89,444 "," 70,203 "," 72,724 "," 866,051 ",,,75700,68283,38969
,ì¬ë¬´ë§¤ì¶,Total," 1,533,179 ",117%," 1,796,599 "," 1,523,060 "," 1,665,395 "," 1,041,182 "," 839,302 "," 1,645,806 "," 1,553,433 "," 2,860,366 "," 2,399,269 "," 2,236,443 "," 2,341,568 "," 1,861,608 "," 1,591,752 "," 21,559,182 ",,,2609359,2404034,2240425
,ë§¤ì¶ì´ìµë¥ ,%,15.5%,82%,12.7%,12.7%,12.6%,11.3%,11.5%,10.9%,10.9%,12.7%,11.6%,11.6%,17.0%,15.1%,14.8%,12.7%,,,,,
,íê´ë¹,USD," 243,671 ",63%," 154,128 "," 127,181 "," 145,019 "," 118,425 "," 110,969 "," 122,966 "," 97,205 "," 205,137 "," 153,079 "," 188,833 "," 226,898 "," 182,909 "," 170,912 "," 1,849,533 ",,,,,
,ììì´ìµ,%," 106,351 ",80%," 84,748 "," 66,481 "," 64,122 ",-531 ,"-14,372 "," 55,676 "," 76,358 "," 157,533 "," 125,219 "," 151,152 "," 172,105 "," 99,106 "," 64,121 "," 1,016,970 ",,,,,
,ììì´ìµë¥ ,USD,6.9%,59%,4.1%,4.4%,3.9%,-0.1%,-1.7%,3.4%,4.9%,5.5%,5.2%,6.8%,7.3%,5.3%,4.0%,4.7%,,,,,
,ê²½ìì´ìµ,USD," 111,690 ",66%," 73,360 "," 61,951 "," 60,024 ","-8,008 ","-19,016 "," 51,397 "," 71,755 "," 153,389 "," 122,344 "," 149,135 "," 164,611 "," 50,899 "," 21,836 "," 880,316 ",,,,,
,ê²½ìì´ìµë¥ ,%,7.3%,46%,3.4%,4.1%,3.6%,-0.8%,-2.3%,3.1%,4.6%,5.4%,5.1%,6.7%,7.0%,2.7%,1.4%,4.1%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3. ëª©í ë¬ì±ë¥ ,,,,,,,,,,,,,,,,,,,,,,
,êµ¬ ë¶,,2020ë,ì ëëë¹,2021ë,,,,,,,,,,,,,,,,,,
,,,ìíê· ,ì¦ê°ì¨,ìíê· ,1ì,2ì,3ì,4ì,5ì,6ì,7ì,8ì,9ì,10ì,11ì,12ì,í©ê³,,,,,
,íë§¤ê¸ì¡,íì´ì´,65%,2.9%,68%,122%,108%,45%,33%,55%,58%,110%,76%,69%,68%,53%,42%,68%,,,,,
,(USD),í ë¸,91%,-6.4%,84%,76%,108%,73%,73%,106%,63%,104%,83%,80%,82%,69%,103%,84%,,,,,
,,í ë©,112%,-14.7%,97%,93%,89%,71%,107%,113%,62%,123%,111%,93%,100%,82%,140%,97%,,,,,
,,ìë¦¬ë,94%,-3.7%,91%,93%,94%,70%,63%,76%,80%,77%,107%,105%,110%,91%,112%,91%,,,,,
,íë§¤ê¸ì¡,USD,74%,2.2%,77%,105%,108%,62%,54%,70%,64%,106%,90%,82%,76%,62%,53%,77%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
