series,month,value,source
idn_pmi,2025-07,49.2,"Investing.com event 1096 history"
idn_pmi,2025-08,51.5,"Investing.com event 1096 history"
idn_pmi,2025-09,50.4,"Investing.com event 1096 history"
idn_pmi,2025-10,51.2,"Investing.com event 1096 · news"
idn_pmi,2025-11,53.3,"Investing.com news (2월 이후 최고)"
idn_pmi,2025-12,51.2,"Investing.com event 1096 history"
idn_pmi,2026-01,52.6,"Investing.com event 1096 history"
idn_pmi,2026-02,53.8,"Investing.com event 1096 (anchor 일치)"
idn_pmi,2026-03,50.1,"Investing.com event 1096 history"
idn_pmi,2026-04,49.1,"Trading Economics · Investing.com"
idn_pmi,2026-05,50.0,"Trading Economics · Investing.com"
idn_pmi,2026-06,46.9,"Trading Economics · Investing.com"
idn_pmi,2026-07,50.2,"Trading Economics · Investing.com"
scfi,2021-09,4614.10,"SSE via container-news.com 주간 차트, 2021-09-30 발표치"
scfi,2021-10,4567.28,"SSE via container-news.com 주간 차트, 2021-10-29 발표치"
scfi,2021-11,4601.97,"SSE via container-news.com 주간 차트, 2021-11-26 발표치"
scfi,2021-12,5046.66,"SSE via container-news.com 주간 차트, 2021-12-31 발표치"
scfi,2022-01,5010.36,"SSE via container-news.com 주간 차트, 2022-01-28 발표치"
scfi,2022-02,4818.47,"SSE via container-news.com 주간 차트, 2022-02-25 발표치"
scfi,2022-03,4434.07,"SSE via container-news.com 주간 차트, 2022-03-25 발표치"
scfi,2022-04,4177.30,"SSE via container-news.com 주간 차트, 2022-04-29 발표치"
scfi,2022-05,4175.35,"SSE via container-news.com 주간 차트, 2022-05-27 발표치"
scfi,2022-06,4216.13,"SSE via container-news.com 주간 차트, 2022-06-24 발표치"
scfi,2022-07,3887.85,"SSE via container-news.com 주간 차트, 2022-07-29 발표치"
scfi,2022-08,3154.26,"SSE via container-news.com 주간 차트, 2022-08-26 발표치"
scfi,2022-09,1922.95,"SSE via container-news.com 주간 차트, 2022-09-30 발표치"
scfi,2022-10,1697.65,"SSE via container-news.com 주간 차트, 2022-10-28 발표치"
scfi,2022-11,1229.90,"SSE via container-news.com 주간 차트, 2022-11-25 발표치"
scfi,2022-12,1107.55,"SSE via container-news.com 주간 차트, 2022-12-30 발표치"
scfi,2023-01,1029.75,"SSE via container-news.com, 2023-01-20 발표치(춘절 전 마지막 · 근사치)"
scfi,2023-02,946.68,"SSE via container-news.com 주간 차트, 2023-02-24 발표치"
scfi,2023-03,923.78,"SSE via container-news.com 주간 차트, 2023-03-31 발표치"
scfi,2023-04,999.73,"SSE via container-news.com 주간 차트, 2023-04-28 발표치"
scfi,2023-05,983.46,"SSE via container-news.com 주간 차트, 2023-05-26 발표치"
scfi,2023-06,953.60,"SSE via container-news.com 주간 차트, 2023-06-30 발표치"
scfi,2023-07,1029.23,"SSE via container-news.com 주간 차트, 2023-07-28 발표치"
scfi,2023-08,1013.78,"SSE via container-news.com 주간 차트, 2023-08-25 발표치"
scfi,2023-09,886.85,"SSE via container-news.com 주간 차트, 2023-09-28 발표치"
scfi,2023-10,1012.60,"SSE via Container News 기사 (week 43, 2023-10-27)"
scfi,2023-11,993.21,"SSE via container-news.com 주간 차트, 2023-11-24 발표치"
scfi,2023-12,1760,"SSE via Container News 기사 (2023-12-29 약 1,760 · 근사치)"
scfi,2024-01,2179.09,"SSE via container-news.com 주간 차트, 2024-01-26 발표치"
scfi,2024-02,2109.91,"SSE via container-news.com 주간 차트, 2024-02-23 발표치"
scfi,2024-03,1730.98,"SSE via container-news.com 주간 차트, 2024-03-29 발표치"
scfi,2024-04,1940.63,"SSE via container-news.com 주간 차트, 2024-04-26 발표치"
scfi,2024-05,3044.77,"SSE via container-news.com 주간 차트, 2024-05-31 발표치"
scfi,2024-06,3714.32,"SSE via container-news.com 주간 차트, 2024-06-28 발표치"
scfi,2024-07,3447.87,"SSE via container-news.com 주간 차트, 2024-07-26 발표치"
scfi,2024-08,2963.38,"SSE via container-news.com 주간 차트, 2024-08-30 발표치"
scfi,2024-09,2135.08,"SSE via container-news.com 주간 차트, 2024-09-27 발표치"
scfi,2024-10,2185.33,"SSE via container-news.com 주간 차트, 2024-10-25 발표치"
scfi,2024-11,2233.83,"SSE via container-news.com 주간 차트, 2024-11-29 발표치"
scfi,2024-12,2460.34,"SSE via container-news.com 주간 차트, 2024-12-27 발표치"
