series,month,value,source
HBA,2026-06,123.91,"2기 Kepmen ESDM 253.K/MB.01/MEM.B/2026"
HBA,2026-07,131.85,"2기 Kepmen ESDM 285.K/MB.01/MEM.B/2026"
HBA,2026-08,124.06,"2기 Kepmen ESDM 336.K/MB.01/MEM.B/2026"
HBA_I,2023-03,136.70,"기준 5,200 kcal · Kepmen ESDM 41.K/MB.01/MEM.B/2023 (HBA I 최초 도입)"
HBA_I,2023-04,102.53,"기준 5,200 kcal · Kepmen ESDM 71.K/MB.01/MEM.B/2023"
HBA_I,2023-05,119.64,"기준 5,200 kcal · Kepmen ESDM 84.K/MB.01/MEM.B/2023"
HBA_I,2023-06,122.59,"기준 5,200 kcal · Kepmen ESDM 119.K/MB.01/MEM.B/2023"
HBA_I,2023-07,109.27,"기준 5,200 kcal · Kepmen ESDM 183.K/MB.01/MEM.B/2023"
HBA_I,2023-08,84.75,"기준 5,300 kcal 로 규격 개정 · Kepmen ESDM 245.K/MB.01/MEM.B/2023"
HBA_I,2023-09,89.11,"기준 5,300 kcal · Kepmen ESDM 290.K/MB.01/MEM.B/2023"
HBA_I,2023-10,81.38,"기준 5,300 kcal · Kepmen ESDM 335.K/MB.01/MEM.B/2023"
HBA_I,2023-11,103.20,"기준 5,300 kcal · ESDM via Bisnis.com"
HBA_I,2023-12,85.92,"기준 5,300 kcal · Kepmen ESDM 447.K/MB.01/MEM.B/2023"
HBA_I,2024-01,87.36,"기준 5,300 kcal · Kepmen ESDM 8.K/MB.01/MEM.B/2024"
HBA_I,2024-02,87.65,"기준 5,300 kcal · ESDM via CNBC Indonesia"
HBA_I,2024-03,88.77,"기준 5,300 kcal · Kepmen ESDM 61.K/MB.01/MEM.B/2024"
HBA_I,2024-04,86.93,"기준 5,300 kcal · Kepmen ESDM 88.K/MB.01/MEM.B/2024"
HBA_I,2024-05,91.77,"기준 5,300 kcal · Kepmen ESDM 112.K/MB.01/MEM.B/2024"
HBA_I,2024-06,88.65,"기준 5,300 kcal · Kepmen ESDM 131.K/MB.01/MEM.B/2024"
HBA_I,2024-07,91.85,"기준 5,300 kcal · Kepmen ESDM 166.K/MB.03/MEM.B/2024"
HBA_I,2024-08,86.20,"기준 5,300 kcal · Kepmen ESDM 195.K/MB.01/MEM.B/2024"
HBA_I,2024-09,85.01,"기준 5,300 kcal · ESDM 보도자료 (Sep 2024)"
HBA_I,2024-10,79.69,"기준 5,300 kcal · ESDM 보도자료 (hba-hma-oktober-2024)"
HBA_I,2024-11,83.46,"기준 5,300 kcal · ESDM via CNBC (Dec 비교치)"
HBA_I,2024-12,81.59,"기준 5,300 kcal · ESDM via CNBC Indonesia"
HBA_I,2025-01,83.95,"기준 5,300 kcal · Kepmen ESDM 21.K/MB.01/MEM.B/2025 (월 1회 고시)"
HBA_I,2025-02,82.26,"기준 5,300 kcal · Kepmen ESDM 67.K/MB.01/MEM.B/2025 (월 1회 고시)"
HBA_I,2025-03,80.70,"기준 5,300 kcal · 2기 Kepmen ESDM 92.K/MB.01/MEM.B/2025 (2기 고시 개시)"
HBA_I,2025-04,78.46,"기준 5,300 kcal · 2기 ESDM 보도자료"
HBA_I,2025-05,76.62,"기준 5,300 kcal · 2기 Kepmen ESDM 175.K/MB.01/MEM.B/2025"
HBA_I,2025-06,75.64,"기준 5,300 kcal · 2기 via Bisnis.com"
HBA_I,2025-07,75.94,"기준 5,300 kcal · 2기 via Bisnis.com"
HBA_I,2025-08,67.20,"기준 5,300 kcal · 2기 via Katadata · Bisnis.com"
HBA_I,2025-09,64.60,"기준 5,300 kcal · 2기 via CNBC Indonesia"
HBA_I,2025-10,67.76,"기준 5,300 kcal · 2기 via Katadata"
HBA_I,2025-11,67.29,"기준 5,300 kcal · 2기 Kepmen ESDM 365.K/MB.01/MEM.B/2025"
HBA_I,2025-12,69.93,"기준 5,300 kcal · 2기 Kepmen ESDM 420.K/MB.01/MEM.B/2025"
HBA_I,2026-01,71.61,"기준 5,300 kcal · 2기 Kepmen ESDM 12.K/MB.01/MEM.B/2026"
HBA_I,2026-02,71.74,"기준 5,300 kcal · 2기 via CNBC Indonesia"
HBA_I,2026-03,71.55,"기준 5,300 kcal · 2기 via IMA"
HBA_I,2026-04,77.71,"기준 5,300 kcal · 2기 via Bisnis.com"
HBA_I,2026-05,80.34,"기준 5,300 kcal · 2기 Kepmen ESDM 204.K/MB.01/MEM.B/2026"
HBA_I,2026-06,88.40,"기준 5,300 kcal · 2기 Kepmen ESDM 253.K/MB.01/MEM.B/2026"
HBA_I,2026-07,89.90,"기준 5,300 kcal · 2기 Kepmen ESDM 285.K/MB.01/MEM.B/2026"
HBA_I,2026-08,96.92,"기준 5,300 kcal · 2기 Kepmen ESDM 336.K/MB.01/MEM.B/2026"
